Record ID,Quiz,Sequence,Record Type,Published Element,Published Options,Source-Supported Response,Verification Status,Evidence,Issue / Note,Live URL,Archived File,Source Page
77-EX01,1977,6,Extra Credit,How many individuals made up the founding PRO class?,A. 16 | B. 24 | C. 20 | D. 7,C. 20,Verified,The article’s founding-members list contains 20 names.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1977-bmx-history-quiz,1977/QUESTION-LEDGER.csv,Supplied supporting article source
1978-Q01,1978,01,Question,_____ won the very first NORA Cup.,A. Stanley Robinson | B. Bobby Encinas | C. Jeff Utterback | D. Steve Skibel,B. Bobby Encinas,Verified,Article TID BITS states the 1978 NORA Cup—the first—was won by factory Shimano racer Bobby Encinas.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1978-bmx-history-quiz,1978/quiz/1978-verified-answer-key.md,"BMX Action, Dec. 1986, p. 32"
1978-Q02,1978,02,Question,Jeff Ruimner came from ______ <state>,,Oklahoma,Verified with published error,Large-photo caption: Jeff Ruminer came from Oklahoma.,Quiz spells surname RUIMNER; article spells RUMINER. Preserve both source forms; article spelling treated as evidence-supported.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1978-bmx-history-quiz,1978/quiz/1978-verified-answer-key.md,"BMX Action, Dec. 1986, p. 32"
1978-Q03,1978,03,Question,Where was Kings BMX track?,"A. Lititz, PA | B. San Diego, CA | C. Modesto, CA | D. Sarasota, FL","C. Modesto, CA",Verified,Article identifies Stanley Robinson with Kings BMX track in Modesto.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1978-bmx-history-quiz,1978/quiz/1978-verified-answer-key.md,"BMX Action, Dec. 1986, p. 32"
1978-Q04,1978,04,Question,_____ found number plates to be profitable.,A. JT | B. Ashtabula | C. Bob Haro | D. Dan Oakley,C. Bob Haro,Verified,Custom Numbers section states Bob Haro found custom number plates profitable.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1978-bmx-history-quiz,1978/quiz/1978-verified-answer-key.md,"BMX Action, Dec. 1986, p. 33"
1978-Q05,1978,05,Question,The NBA did ______ of promotion.,A. “Almost zilch job” | B. “Better than USA BMX” | C. “Inflate the ball” | D. “Not hold back any expense”,A. “Almost zilch job”,Verified,Article reproduces the line that the NBA did its usual almost zilch job of promoting.,Published quiz grammar differs from the full quoted sentence; answer phrase preserved.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1978-bmx-history-quiz,1978/quiz/1978-verified-answer-key.md,"BMX Action, Nov. 1978 quotation reproduced on p. 33"
1978-EC01,1978,06,Extra Credit,Wheels ’N Things bike shop was in,"A. San Diego, CA | B. Oakland, CA | C. Lansing, MI | D. Pittsburg, PA","A. San Diego, CA",Verified,Doug Davis photograph caption identifies Wheels ’N Things as a bike shop out of San Diego.,"Option D publishes Pittsburg, PA without the final h; preserved as a distractor spelling.",https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1978-bmx-history-quiz,1978/quiz/1978-verified-answer-key.md,"BMX Action, Dec. 1986, p. 33"
1979-Q01,1979,01,Question,________ invented the one-footer in 1979.,A. Eddy King | B. Lee Medlin | C. Kyle Fleming | D. Tim Judge,D. Tim Judge,Verified,The section “Timmy Judge’s One Footer Jump” states that Timmy Judge performed the one-footer.,Quiz uses Tim; article uses Timmy.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1979-bmx-history-quiz,1979/quiz/1979-verified-answer-key.md,"BMX Action, Dec. 1986, p. 35"
1979-Q02,1979,02,Question,________ was known as the “Coca Cola Cowboy”.,,Toby Henderson,Verified by contextual attribution,"After naming Toby Henderson and Jeff Bottema, the article refers to the pair as “the ‘Coca-Cola Cowboy’ and Bottema.”",Quiz omits the hyphen in Coca-Cola; answer is contextually attributed rather than directly stated.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1979-bmx-history-quiz,1979/quiz/1979-verified-answer-key.md,"BMX Action, Dec. 1986, p. 34"
1979-Q03,1979,03,Question,Which of these riders did not ride for DG?,A. Toby Henderson | B. Sal Zuener | C. Jeff Bottema | D. Harry Leary,D. Harry Leary,Verified by exclusion,"The article identifies Zuener, Henderson, and Bottema with DG; Harry Leary is the remaining option.",Answer is derived from the source’s identification of the other three choices.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1979-bmx-history-quiz,1979/quiz/1979-verified-answer-key.md,"BMX Action, Dec. 1986, p. 34"
1979-Q04,1979,04,Question,________ was responsible for the success of the Jag World Championship Series.,A. Lee Medlin | B. Renny Roker | C. Bob Haro | D. Dan Oakley,B. Renny Roker,Verified with wording note,"The Indoor Nationals section says Jag BMX, under Renny Roker’s direction, sponsored and staged the first Jag World Championships.",Quiz says World Championship Series; article says first Jag World Championships and describes a short tradition. Renny Roker spelling checked.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1979-bmx-history-quiz,1979/quiz/1979-verified-answer-key.md,"BMX Action, Dec. 1986, p. 35"
1979-Q05,1979,05,Question,________ did the first rock walk and started a “million dollar industry”.,A. John Crews | B. Chris Hopkins | C. Kyle Fleming | D. Bob Haro,D. Bob Haro,Verified,The First Freestyle Trick Ever section states that Bob Haro did the first rock walk and started a million-dollar industry called freestyle.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1979-bmx-history-quiz,1979/quiz/1979-verified-answer-key.md,"BMX Action, Dec. 1986, p. 35"
1979-EC01,1979,06,Extra Credit,"While not 1979, when did the first Haro plate appear on the cover of BMX Action Magazine?",,December 1978,Verified,Haro Plates states that the first Haro plate to appear on the cover of BMXA was December 1978.,The quiz explicitly identifies this as outside 1979.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1979-bmx-history-quiz,1979/quiz/1979-verified-answer-key.md,"BMX Action, Dec. 1986, p. 35"
1980-Q01,1980,01,Question,________ “PRO-BABLY TRIPLED MORE THAN ANYONE IN THE SPORT”,A. Jason Jenson | B. Bob Osborn | C. Steve Giberson | D. Richie Anderson,A. Jason Jenson,Verified,Jason Jenson caption states that J.J. had probably tripled more than anyone in the sport.,Quiz prints PRO-BABLY; article prints probably.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,1980/quiz/1980-verified-answer-key.md,"BMX Action, Dec. 1986, p. 36"
1980-Q02,1980,02,Question,____________________ was known as “Gibey”?,,Steve “Gibey” Giberson,Verified,Photograph caption identifies resident editorial rider Steve “Gibey” Giberson.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,1980/quiz/1980-verified-answer-key.md,"BMX Action, Dec. 1986, p. 37"
1980-Q03,1980,03,Question,"“________________ has set an example that is clean, healthy, honest, and competitive.”",A. Stu Thomsen | B. Scott Breithaupt | C. Ted Guillmette | D. Brent Patterson,A. Stu Thomsen,Verified,Printed Bob Osborn quote attributes the statement to Stu Thomsen.,Quiz prints Scott; source photograph caption elsewhere prints Scot Breithaupt.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,1980/quiz/1980-verified-answer-key.md,"BMX Action, Dec. 1986, p. 36"
1980-Q04,1980,04,Question,____________ was known as “The Avalance”.,A. Richie Anderson | B. Craig Cook | C. Greg Hill | D. Bob Osborn,A. Richie Anderson,Verified with published-error note,Photograph caption reads Richie “The Avalanche” Anderson.,Quiz prints Avalance; source prints Avalanche.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,1980/quiz/1980-verified-answer-key.md,"BMX Action, Dec. 1986, p. 37"
1980-Q05,1980,05,Question,T/F - Bobby Encinas won the No. 1 Rider NORA Cup.,True | False,False — Stu Thomsen,Verified,The supplied retrospective says Stu won his first NORA Cup; BMX Action historical listing records Stu Thomsen for 1980.,False statement; Bobby Encinas was not the 1980 listed rider.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,1980/quiz/1980-verified-answer-key.md,"BMX Action, Dec. 1986, p. 36; BMX Action, June 1984 listing"
1980-EC01,1980,06,Extra Credit,"____________ does not condone stunt riding with BMX equipment. Our effort is in racing, not “circus acts.”",,Cook Bros. Racing / Craig and Gary Cook,Verified,"The quotation is printed and attributed to Craig and Gary Cook, Cook Bros. Racing.",,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,1980/quiz/1980-verified-answer-key.md,"BMX Action, Dec. 1986, p. 37"
1980-EC02,1980,07,Extra Extra Credit,____________ was the NORA Cup No. 1 Team Award.,,Mongoose,Verified from supplemental published source,Published BMX Action historical NORA Cup listing records Mongoose as the 1980 team.,Answer does not appear in supplied retrospective; supplemental source URL preserved.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,1980/quiz/1980-verified-answer-key.md,https://previouspage.co.uk/magazines/BMX%20Action/issues/54-june-nineteen-eighty-four
1980-EC03,1980,08,Extra Extra Extra Credit,What was the nickname of the kid with “size 4 ½ footprints” he was leaving on and off the track?,,Juicy Jaws — Jason Jenson,Verified,Jason Jenson section says ol’ Juicy Jaws made size 4½ footprints on and off the track.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1980-bmx-history-quiz,1980/quiz/1980-verified-answer-key.md,"BMX Action, Dec. 1986, p. 37"
1981-Q01,1981,01,Question,________ ended his one-man boycott of the ABA.,A. John Crews | B. Jeff Kosmala | C. Greg Hill | D. Jason Jensen,C. Greg Hill,Verified directly,Supplied caption states Greg Hill had just ended his one-man boycott of the ABA.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1981-bmx-history-quiz,1981/quiz/1981-verified-answer-key.md,"Supplied 1981 BMX Action spread, left page"
1981-Q02,1981,02,Question,T/F - 1981 was the first year of tallying cruiser points.,True | False,True,Verified with scope note,1981 article establishes Pro Cruiser context; supplemental history documents first ABA national Pro Cruiser race in Jan. 1981 and points accumulated that season.,Cruiser racing existed before 1981; answer applies to the 1981 Pro Cruiser points context.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1981-bmx-history-quiz,1981/quiz/1981-verified-answer-key.md,https://nebraskabmxhalloffame.com/tim-lillethorup/
1981-Q03,1981,03,Question,Torker’s owner was:,A. Mike King | B. Steve Johnson | C. Clint Miller | D. Jason Jensen,B. Steve Johnson,Verified directly,Supplied Team Torker caption identifies Steve Johnson as Torker’s owner.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1981-bmx-history-quiz,1981/quiz/1981-verified-answer-key.md,"Supplied 1981 BMX Action spread, left page"
1981-Q04,1981,04,Question,____________ pants were the fashion leader.,,JMC,Contextually verified,Surviving cropped fragment references JMC and its stylish riders in the associated source passage.,Opening sentence is cropped; no missing wording reconstructed.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1981-bmx-history-quiz,1981/quiz/1981-verified-answer-key.md,"Supplied 1981 BMX Action spread, cropped right-page top"
1981-Q05,1981,05,Question,“Trash Can” was his nickname?,A. Rich Farside | B. Bob Morgan | C. R.L. Osborn | D. Brent Patterson,B. Bob Morgan,Verified with supplemental period evidence,Period article index identifies an ACS Z-Rim test featuring Trash Can Bob Morgan.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1981-bmx-history-quiz,1981/quiz/1981-verified-answer-key.md,https://www.dreamgate.ne.jp/kuwahara/articles/article.html
1981-EC01,1981,06,Extra Credit,____________ helmets became “the only nogan-knocker to wear.”,,Bell Moto III helmets,Verified directly,Supplied article states Bell’s durable Moto III replaced Premier helmets and was used by the best.,NOGAN-KNOCKER preserved as published quiz wording.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1981-bmx-history-quiz,1981/quiz/1981-verified-answer-key.md,"Supplied 1981 BMX Action spread, right page"
1981-EC02,1981,07,Extra Extra Credit,The first person to pull off a no-footer/one hander was:,A. Kevin McNeal | B. Mike Miranda | C. Stu Thomsen | D. Bob Morgan,D. Bob Morgan,Contextually verified,"Answer retained from source sequence, adjacent aerial material, and period Bob Morgan identification; full identifying passage/caption is cropped.",Top-page crop prevents direct quotation of the complete identifying evidence.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1981-bmx-history-quiz,1981/quiz/1981-verified-answer-key.md,"Supplied 1981 BMX Action spread, cropped right-page top"
1982-Q01,1982,01,Question,Nelson Chanady was picked up by _ as a sponsor.,A. JAG | B. GT | C. Torker | D. Redline,B. GT,Verified directly,Article says it did not take long before GT picked Nelson Chanady up.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1982-bmx-history-quiz,1982/quiz/1982-verified-answer-key.md,BMX Action Dec. 1986 p. 42 continuing to p. 43
1982-Q02,1982,02,Question,The first IBMXF race in America was at:,A. Daytona Raceway | B. Oakland Coliseum | C. L.A. Coliseum | D. Pontiac Silverdome,D. Pontiac Silverdome,Verified directly,Race caption identifies Pontiac Silverdome and calls it the first IBMXF race on American soil.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1982-bmx-history-quiz,1982/quiz/1982-verified-answer-key.md,BMX Action Dec. 1986 p. 42
1982-Q03,1982,03,Question,____________ Lee Medlin was his nickname.,,Pedalin’,Verified directly,Photograph caption begins “Pedalin’ Lee Medlin.”,Apostrophe preserved from printed caption.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1982-bmx-history-quiz,1982/quiz/1982-verified-answer-key.md,BMX Action Dec. 1986 p. 43
1982-Q04,1982,04,Question,T/F - GT sold “close to a million” GT Pro bars.,True | False,True,Verified directly as published claim,"Article says GT is said to have sold “close to a million,” followed by “Slight exaggeration, maybe.”",Preserve the magazine’s qualifier; not independently audited.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1982-bmx-history-quiz,1982/quiz/1982-verified-answer-key.md,BMX Action Dec. 1986 p. 43
1982-Q05,1982,05,Question,__________ was known as “Mr. Smooth”.,A. Darrell Young | B. Bob Medrano | C. Geoff Scofield | D. Clarence Perry,A. Darrell Young,Verified directly,"Article calls Darrell Young one of the smoothest riders; photograph caption says “Mr. Smooth, himself. Darrell Young.”",,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1982-bmx-history-quiz,1982/quiz/1982-verified-answer-key.md,BMX Action Dec. 1986 p. 43
1982-EC01,1982,06,Extra Credit,Greg Hill “owned 1982” but he didn’t ____________ a lot.,,Shave,Verified directly,Greg Hill section says “Greg OWNED 1982. He also didn’t shave a lot.”,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1982-bmx-history-quiz,1982/quiz/1982-verified-answer-key.md,BMX Action Dec. 1986 p. 42
1982-EC02,1982,07,Extra Extra Credit,Who was arrested the night before the Pontiac Silverdome races?,,Unresolved,Known unresolved exception,Not identified in supplied article; targeted historical search did not locate a sufficiently reliable source.,No rider name guessed or inserted.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1982-bmx-history-quiz,1982/quiz/1982-verified-answer-key.md,No reliable source established
1982-EC03,1982,08,Extra Extra Extra Credit,Greg Grubbs came out of ____________.,,"Nowhere, Nebraska",Verified directly,"Article says Greg Grubbs came “outta nowhere (Nowhere, Nebraska).”",Preserved as article phrasing; not treated as an independently verified municipality.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1982-bmx-history-quiz,1982/quiz/1982-verified-answer-key.md,BMX Action Dec. 1986 p. 43
1983-Q01,1983,01,Question,A two page article was written in BMXA calling a trick the ______ but it became “The Leary.”,,Judge,Verified directly,Article says BMXA ran a two-page how-to spread calling the radical click-out a “Judge.”,"Full controversy also includes Leary, Medrano, and Utterback.",https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1983-bmx-history-quiz,1983/quiz/1983-verified-answer-key.md,BMX Action Dec. 1986 pp. 44–45
1983-Q02,1983,02,Question,________ “proceeded to destroy the amateur classes” but didn’t turn pro this year.,A. George Seevers | B. Mike Poulson | C. Richie Anderson | D. Gary Ellis,C. Richie Anderson,Verified directly,Terrible Ten section states Richie Anderson proceeded to DESTROY the amateur classes.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1983-bmx-history-quiz,1983/quiz/1983-verified-answer-key.md,BMX Action Dec. 1986 p. 44
1983-Q03,1983,03,Question,________ waited until the last race of ’83 to turn pro.,A. Eric Rupe | B. Greg Grubbs | C. Gary Ellis | D. Anthony Sewell,C. Gary Ellis,Verified directly,Article says Gary Ellis waited until the last race of ’83—the World Championships—to turn pro.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1983-bmx-history-quiz,1983/quiz/1983-verified-answer-key.md,BMX Action Dec. 1986 p. 44
1983-Q04,1983,04,Question,"T/F - Greg Hill won his first NORA Cup while riding for Hutch, then launched GHP in October ’83, and became a dad in December.",True | False,False,Verified directly,Article states Greg Hill was riding for GT. GHP launch and December fatherhood are supported.,False because of the Hutch clause; do not discard the two supported clauses.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1983-bmx-history-quiz,1983/quiz/1983-verified-answer-key.md,BMX Action Dec. 1986 p. 45
1983-Q05,1983,05,Question,$________ was up for grabs in the ESPN series.,,"$15,000",Verified directly,"Article says $15,000 was up for grabs at the seventh and final ESPN-series race.","The first six races offered $5,000 each.",https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1983-bmx-history-quiz,1983/quiz/1983-verified-answer-key.md,BMX Action Dec. 1986 p. 45
1983-EC01,1983,06,Extra Credit,________ broke his wrist at the ESPN finals but still raced with it.,,Brian Patterson,Verified directly,Final standings note says Brian Patterson broke his wrist at the finals and still raced with it broken.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1983-bmx-history-quiz,1983/quiz/1983-verified-answer-key.md,BMX Action Dec. 1986 p. 45
1983-EC02,1983,07,Extra Extra Credit,The ______ ten came out.,,Original,Verified directly,Source heading reads “THE ORIGINAL TERRIBLE TEN.”,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1983-bmx-history-quiz,1983/quiz/1983-verified-answer-key.md,BMX Action Dec. 1986 p. 44
1984-Q01,1984,01,Question,Eric Rupe beat Greg Hill by ___ points to win NBL No. 1 Pro.,,31 points,Verified directly,"Article says Rupe became NBL No. 1 Pro for 1984, beating Greg Hill by 31 points.",,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1984-bmx-history-quiz,1984/quiz/1984-verified-answer-key.md,BMX Action Dec. 1986 pp. 50–51
1984-Q02,1984,02,Question,The pride of CW Racing was ____ <nickname> ____ Loncarevich.,A. Pitter Patter Pete | B. Pistol Pete | C. Pretty-Boy Pete | D. Pepto Pete,B. Pistol Pete,Verified directly,Photograph caption identifies the pride of CW Racing as “Pistol Pete” Loncarevich.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1984-bmx-history-quiz,1984/quiz/1984-verified-answer-key.md,BMX Action Dec. 1986 p. 50
1984-Q03,1984,03,Question,"________ was a huge up-and-comer who had ups-and-downs, and joined Pro Neck.",A. Dave Vanderspek | B. Ron Wilkerson | C. Hugo Gonzales | D. Shaun Texas,D. Shaun Texas,Verified directly,Article identifies Shawn Texas as the huge up-and-comer who joined Pro Neck.,Quiz: Shaun Texas. Article: Shawn Texas. Both preserved.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1984-bmx-history-quiz,1984/quiz/1984-verified-answer-key.md,BMX Action Dec. 1986 p. 50
1984-Q04,1984,04,Question,"T/F - Greg Hill won his second NORA Cup, but his first wearing a GHP jersey.",True | False,True,Verified directly,"Article says Hill won his second NORA Cup in a row, his first one with GHP.",Source wording is “with GHP”; quiz wording says wearing a GHP jersey.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1984-bmx-history-quiz,1984/quiz/1984-verified-answer-key.md,BMX Action Dec. 1986 p. 50
1984-Q05,1984,05,Question,Ronnie Anderson signed with __________.,A. Free Agent | B. Panda | C. CW | D. Zeronine,D. Zeronine,Verified directly,Article says Ronnie Anderson signed with Zeronine.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1984-bmx-history-quiz,1984/quiz/1984-verified-answer-key.md,BMX Action Dec. 1986 p. 51
1984-EC01,1984,06,Extra Credit,________ was “some young punk” who was “moving up” and battling it out with the King—Eddie Fiola.,,Mike Dominguez,Verified directly,Freestyle section uses those phrases for Mike Dominguez and states that he and Eddie Fiola battled.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1984-bmx-history-quiz,1984/quiz/1984-verified-answer-key.md,BMX Action Dec. 1986 p. 50
1984-EC02,1984,07,Extra Extra Credit,"T/F Tommy Brackens started the season with Torker and ended with his own company, Tommy Brackens Products (TBP).",True | False,False,Verified directly,Article caption says Brackens ended the year off Torker and on GT.,Direct contradiction; no TBP year-end destination should be inferred.,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1984-bmx-history-quiz,1984/quiz/1984-verified-answer-key.md,BMX Action Dec. 1986 p. 50
1985-Q01,1985,01,Question,________ was the closest challenger to No. 1 Greg Hill in the NBL.,,Pete Loncarevich,Verified directly,Article says Pete was the closest challenger to Greg in the NBL.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1985-bmx-history-quiz,1985/quiz/1985-verified-answer-key.md,BMX Action Dec. 1986 p. 57
1985-Q02,1985,02,Question,________ was the closest challenger to No. 1 Greg Hill in the USBA.,,Toby Henderson,Verified directly,Article says Toby Henderson was closest to Greg in USBA.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1985-bmx-history-quiz,1985/quiz/1985-verified-answer-key.md,BMX Action Dec. 1986 p. 57
1985-Q03,1985,03,Question,________ made an exclusive deal with Skyway to make lavender Tuffs.,A. BOSS | B. CW | C. ELF | D. GT,B. CW,Verified directly,Colors section says CW made an exclusive deal with Skyway to make lavender Tuffs.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1985-bmx-history-quiz,1985/quiz/1985-verified-answer-key.md,BMX Action Dec. 1986 p. 56
1985-Q04,1985,04,Question,Tommy Brackens’ nickname was:,A. The Happy Human | B. The Human Hamster | C. The Human Dragster | D. Jet Fuel Dragster,C. The Human Dragster,Verified directly,Photograph caption calls Tommy Brackens the “Human Dragster.”,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1985-bmx-history-quiz,1985/quiz/1985-verified-answer-key.md,BMX Action Dec. 1986 p. 56
1985-Q05,1985,05,Question,________ left the BMX ACTION Trick Team to go to CW.,A. R.L. Osborn | B. Mike Buff | C. Eddie Roman | D. Mike Dominguez,B. Mike Buff,Verified directly,Article says Mike Buff quit the BMX ACTION Trick Team to go to CW.,,https://sites.google.com/view/lititzbmxinventorylist/learning-resources/quizzes/1985-bmx-history-quiz,1985/quiz/1985-verified-answer-key.md,BMX Action Dec. 1986 p. 56
