record_id,published_number,published_title,archival_display_title,short_url,youtube_video_id,publication_date,duration,visibility,publication_state,views_at_2026_07_22,comments_at_2026_07_22,thematic_group,transcript_status,parent_timestamp_start,parent_timestamp_end,shared_visual,claim_status
GH-011,11,"11: Greg Hill was asked if Harry Leary was boastful after getting a named jump - ""No."" - ""Never""",Greg Hill Says Harry Leary Did Not Boast About “The Leary”,https://youtube.com/shorts/XK_DTbutQDU,XK_DTbutQDU,2025-05-26,0:36,Public,Published,91,0,heritage-finish,supplied complete transcript excerpt,9:04,9:19,source/visual/shared-published-frame-cleaner-capture.png,attributed firsthand testimony
GH-012,12,12: Greg Hill shared -Pete Loncarevich Kicks My Tire in 1985 NBL Grands- 2 months later-at ABA Grand,"Pete Loncarevich, the 1985 Grands, and Greg Hill’s Response",https://youtube.com/shorts/FyONbwUNlzE,FyONbwUNlzE,2025-05-26,0:36,Public,Published,113,0,race-grade-performance,supplied partial transcript excerpt; ending incomplete,12:49,13:12,source/visual/shared-published-frame-cleaner-capture.png,attributed firsthand competition recollection; not independently adjudicated
GH-013,13,13: Greg Hil only focused on what he was doing - if someone was in front of him- it wasn't personal,"Greg Hill Focused on the Track, Not the Person",https://youtube.com/shorts/Zev7YdNob9M,Zev7YdNob9M,2025-05-28,0:36,Public,Published,18,0,race-grade-performance,supplied complete transcript excerpt,13:12,13:36,source/visual/shared-published-frame-cleaner-capture.png,attributed firsthand testimony
GH-014,14,"14: Greg Hill reflects on their ""I never had any beef with Harry at all, really.""",Greg Hill Says He Never Had Any Beef with Harry Leary,https://youtube.com/shorts/G7bx0pbPkTw,G7bx0pbPkTw,2025-05-28,0:36,Public,Published,22,0,heritage-finish,supplied complete transcript excerpt,13:21,13:36,source/visual/shared-published-frame-cleaner-capture.png,attributed firsthand testimony
GH-015,15,"15. Greg Hill shares his thoughts on BMX as a hobby vs business - ""the BMX business is ______.""",Greg Hill on BMX as a Hobby Versus BMX as a Business,https://youtube.com/shorts/GhEpxm-SpGo,GhEpxm-SpGo,2025-05-30,0:36,Public,Published,19,0,commercial-grade-bmx,supplied complete transcript excerpt,13:36,14:04,source/visual/shared-published-frame-cleaner-capture.png,attributed firsthand opinion
GH-016,16,"16: Greg Hill explains that ""nobody is getting wealthy off of BMX"" - even the ""Big"" companies",Greg Hill on BMX Company Economics — “Nobody Is Getting Wealthy”,https://youtube.com/shorts/IdEIee2nnog,IdEIee2nnog,2025-05-30,0:36,Public,Published,8,0,commercial-grade-bmx,supplied partial transcript excerpt; ending incomplete,14:04,14:20,source/visual/shared-published-frame-cleaner-capture.png,attributed industry opinion; no audited financial data supplied
GH-017,17,17: Greg Hill explains why he makes more money now than he ever did in BMX,Greg Hill Reports More Income and More Time After Closing GHP,https://youtube.com/shorts/SUmG9CldZpo,SUmG9CldZpo,2025-06-05,0:36,Public,Published,35,0,commercial-grade-bmx,supplied complete transcript excerpt,14:12,14:47,source/visual/shared-published-frame-cleaner-capture.png,attributed personal financial comparison; no financial documentation supplied
GH-018,18,"18: Greg Hill talks about the ""bro-price"" -a staple in BMX- ""my price"" - not an issue in flooring",Greg Hill on BMX “Bro Price” Culture and Thin Margins,https://youtube.com/shorts/-3a9hJjboOE,-3a9hJjboOE,2025-06-05,0:36,Public,Published,20,0,commercial-grade-bmx,supplied partial transcript excerpt; beginning continues from parent context,14:38,15:08,source/visual/shared-published-frame-cleaner-capture.png,attributed firsthand business opinion
GH-019,19,"19: Greg Hill has that there were about 250 frame companies when he quit - ""you're not making money""",Greg Hill on Frame-Market Saturation and GHP Economics,https://youtube.com/shorts/K5vYyv46cAY,K5vYyv46cAY,2025-06-05,0:36,Public,Published,11,0,commercial-grade-bmx,supplied complete transcript excerpt,15:08,15:26,source/visual/shared-published-frame-cleaner-capture.png,attributed approximate business recollection; no audited records supplied
GH-020,20,20: Greg Hill shares that he believes that frame companies are lucky to sell 2000 frames per year,"Greg Hill Estimates Successful BMX Companies May Sell About 2,000 Frames per Year",https://youtube.com/shorts/kGWdI-AqSxM,kGWdI-AqSxM,2025-06-05,0:36,Public,Published,464,0,commercial-grade-bmx,supplied complete transcript excerpt,15:18,15:34,source/visual/shared-published-frame-cleaner-capture.png,attributed speculative industry estimate; not a verified statistic
GH-021,21,"21: Greg Hill shares that when he shut down GHP and got out of BMX -his phone never rang- ""stopped""",Greg Hill Says His Phone Stopped Ringing After GHP Closed,https://youtube.com/shorts/Y2uPJS-hj0Y,Y2uPJS-hj0Y,2025-06-05,0:36,Public,Published,24,0,life-beyond-the-track,supplied complete transcript excerpt,15:34,15:52,source/visual/shared-published-frame-cleaner-capture.png,attributed approximate firsthand recollection
GH-022,22,22: Greg Hill shares that he had people he thought were his friends - and then it is gone - no one,Greg Hill Reflects on Friendships That Disappeared with the Business,https://youtube.com/shorts/z4YUSY8ToQo,z4YUSY8ToQo,2025-06-05,0:36,Public,Published,15,0,life-beyond-the-track,supplied partial transcript excerpt; ending incomplete,15:43,16:09,source/visual/shared-published-frame-cleaner-capture.png,attributed personal interpretation concerning unnamed third parties
GH-023,23,"23: Greg Hill says he wouldn't get back into BMX if someone offered me ""all the money"" in the world",Greg Hill Rules Out Returning to the BMX Business,https://youtube.com/shorts/5zFc6e87TH8,5zFc6e87TH8,2025-06-05,0:36,Public,Published,29,0,life-beyond-the-track,no Short-level transcript supplied; parent transcript passage aligned,16:00,16:16,source/visual/shared-published-frame-cleaner-capture.png,attributed statement aligned to parent transcript
GH-024,24,"24: Greg Hill is ""super happy"" not being in BMX - if you know you know IYKYK",Greg Hill Says He Is “Super Happy” Outside the BMX Business,https://youtube.com/shorts/KozO6dhMvk4,KozO6dhMvk4,2025-06-05,0:36,Public,Published,27,0,life-beyond-the-track,no Short-level transcript supplied; parent transcript passage aligned,16:09,16:16,source/visual/shared-published-frame-cleaner-capture.png,attributed statement aligned to parent transcript
GH-025,25,"25: Greg Hil confirms that he is up for the job - ""When you are ready to go - just let me know.""",Greg Hill Confirms He Is Ready for the Garage-Floor Job,https://youtube.com/shorts/cu7daAFsn6s,cu7daAFsn6s,2025-06-05,0:36,Public,Published,15,0,final-coat,no Short-level transcript supplied; parent transcript passage aligned,16:16,16:33,source/visual/shared-published-frame-cleaner-capture.png,attributed statement aligned to parent transcript
